key,reading,written,level
よくふかい|欲深い,よくふかい,欲深い,N1
よける|避ける,よける,避ける,N1
よし|葦,よし,葦,N1
よしあし|善し悪し,よしあし,善し悪し,N1
よっぱらい|酔っ払い,よっぱらい,酔っ払い,N2
よろしく|宜しく,よろしく,宜しく,N3
らい|来,らい,来,N3
らんよう|濫用,らんよう,濫用,N1
りっぱ|りっぱ,りっぱ,りっぱ,N5
りゅう|流,りゅう,流,N1
りょう|了,りょう,了,N1
りょう|料,りょう,料,N1
れんじゅう|連中,れんじゅう,連中,N1
ろくな|ろくな,ろくな,ろくな,N1
ろくな|碌な,ろくな,碌な,N1
ろくに|碌に,ろくに,碌に,N1
ろんぎ|論議,ろんぎ,論議,N1
ろんずる|論ずる,ろんずる,論ずる,N2
わえい|和英,わえい,和英,N2
わかる|分る,わかる,分る,N2
わぶん|和文,わぶん,和文,N1
わりあいに|わりあいに,わりあいに,わりあいに,N2
わりあいに|割合に,わりあいに,割合に,N2
わりあて|割当,わりあて,割当,N1
わりざん|割算,わりざん,割算,N2
わりびき|割引き,わりびき,割引き,N1
アイディア|アイディア,アイディア,アイディア,N2
アワー|アワー,アワー,アワー,N1
カー|カー,カー,カー,N3
ガレージ|ガレージ,ガレージ,ガレージ,N1
サンキュー|サンキュー,サンキュー,サンキュー,N1
ジーパン|Ｇパン,ジーパン,Ｇパン,N1
スト|スト,スト,スト,N1
ゼミ|ゼミ,ゼミ,ゼミ,N2
ダイヤグラム|ダイヤグラム,ダイヤグラム,ダイヤグラム,N2
トランジスター|トランジスター,トランジスター,トランジスター,N1
ニュー|ニュー,ニュー,ニュー,N1
ネガ|ネガ,ネガ,ネガ,N1
ビルディング|ビルディング,ビルディング,ビルディング,N2
フィルタ|フィルタ,フィルタ,フィルタ,N1
リポート|リポート,リポート,リポート,N4
レクリェーション|レクリェーション,レクリェーション,レクリェーション,N2
ロープウエイ|ロープウエイ,ロープウエイ,ロープウエイ,N1
ローマじ|ローマじ,ローマじ,ローマじ,N2
