word,reading,consensus_level,level_votes,family_level_votes,reference_sources,reference_families,support_count,example_meaning
～画,～が,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,～画
～外,～がい,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,～以外
～街,～がい,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,town
～学部,～がくぶ,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,department of a university
～難い,～がたい,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,hard (difficult) to do ~
～がち,～がち,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,容易～
～月,～がつ,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,month of year
～がる,～がる,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,感到
～側,～がわ,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,～侧
～器,～き,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,～器
～期,～き,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,～期
～機,～き,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,～机
～教,～きょう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,religion
～狂,～きょう,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,"maniac, fan, freak"
～きり,～きり,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,only
～きる,～きる,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,彻底，完全
～切れ,～きれ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,用完，耗尽
～気味,～ぎみ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,slightly ~
～業,～ぎょう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,type of business
～行,～ぎょう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,"line, row"
～区,～く,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,"~ district, ~ ward, ~ borough"
～口,～くち,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,"~ opening; ~ entrance, ~ exit"
～くらい; ぐらい,～くらい; ぐらい,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,大约
～君,～くん,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,~君 (对晚辈或同辈男性的称呼)
～家,～け,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,～家
