word,reading,consensus_level,level_votes,family_level_votes,reference_sources,reference_families,support_count,candidate_type,example_meaning,relation,current_forms,current_readings,current_levels,jmdict_forms
獣,けだもの,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,beast; brute,same-jmdict-entry,獣,けもの,N1,けだもの|けもの|じゅう|ケダモノ|ケモノ|獣
交替,こうたい,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,alternation; change; relief,same-jmdict-entry,交代,こうたい,N2,こうたい|こうだい|交代|交替
こしらえる,こしらえる,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,"to make,to manufacture",same-jmdict-entry,拵える,こしらえる,N2,こしらえる|拵える
今日,こんにち,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,today; this day,same-jmdict-entry,きょう|今日,きょう,N1|N5,きょう|こんじつ|こんち|こんにち|今日
ごちそうさま,ごちそうさま,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,feast,same-jmdict-entry,ご馳走様,ごちそうさま,N2,ごちそうさま|ご馳走さま|ご馳走様|御馳走様
さ来年,さらいねん,N5,"{""N5"": 2}","{""community-independent"": ""N5"", ""waller-derived"": ""N5""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,year after next,same-jmdict-entry,再来年,さらいねん,N2,さらいねん|さ来年|再来年
さわやか,さわやか,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,"fresh,refreshing,invigorating",same-jmdict-entry,爽やか,さわやか,N2,さわやか|爽やか
雫,しずく,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,drop (of water),same-jmdict-entry,滴,しずく,N1,しずく|滴|雫
七,しち,N5,"{""N5"": 2}","{""community-independent"": ""N5"", ""waller-derived"": ""N5""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,seven,same-jmdict-entry,な|七,な|なな,N5,しち|な|なあ|なな|ひち|七|柒|漆|７
湿気,しっき,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,lexical,"moisture,humidity,dampness",same-jmdict-entry,湿気,しっけ,N3,しっき|しっけ|湿気
