word,reading,consensus_level,level_votes,family_level_votes,reference_sources,reference_families,support_count,current_forms,current_readings,current_levels,current_sources,match_type
がる,がる,N1,"{""N1"": 1}","{""waller-derived"": ""N1""}",waller,waller-derived,1,ガール,ガール,N1,advanced-bundle,loose-kana/long-mark
すてき,すてき,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",waller|wordmaster,community-independent|waller-derived,2,ステーキ,ステーキ,N3,runtime-core,loose-kana/long-mark
トランジスター,トランジスター,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",waller|wordmaster,community-independent|waller-derived,2,トランジスタ,トランジスタ,N1,advanced-bundle,loose-kana/long-mark
フィルタ,フィルタ,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,フィルター,フィルター,N1,runtime-core,loose-kana/long-mark
まと,まと,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,マート,マート,N1,advanced-bundle,loose-kana/long-mark
