reading	display	level	grade	status	basis	common	frequency_rank	entry_id	evidence
あぶらえのぐ	油絵の具	N2	D	estimated	model+frequency+world-distribution	1	21047	1955050	{}
あぶる	炙る	N2	A	direct	manual-secondary-exact	0		1568910	"{""manual-secondary-exact"":""N2"",""openjlpt-exact"":""N1"",""waller-exact"":""N1"",""existing-direct"":""N2""}"
あまえんぼう	甘えん坊	N2	D	estimated	model+frequency+world-distribution	1	19180	1790040	{}
あまだれ	雨垂れ	N2	D	estimated	model+frequency+world-distribution	1	25087	1586640	{}
あまど	雨戸	N2	B	direct	waller-lineage-exact	1	16416	1171970	"{""openjlpt-exact"":""N2"",""waller-exact"":""N2"",""existing-direct"":""N2"",""waller-entry-context"":""N2""}"
あまのがわ	天の川	N2	D	estimated	model+frequency+world-distribution	1	25038	1582020	{}
あまみ	甘み	N2	B	direct	core-exact	1	10620	1609070	"{""core-deck-exact"":""N2"",""existing-direct"":""N2""}"
あまもよう	雨模様	N2	D	estimated	model+frequency+world-distribution	1	14410	1576450	{}
あまもり	雨漏り	N2	D	estimated	model+frequency+world-distribution	1	15950	1172160	{}
あまやかす	甘やかす	N2	A	direct	core+waller-lineage-corroborated	1	20606	1213470	"{""core-deck-exact"":""N2"",""openjlpt-exact"":""N2"",""waller-exact"":""N2"",""existing-direct"":""N2"",""waller-entry-context"":""N2""}"
あまやどり	雨宿り	N2	D	estimated	model+frequency+world-distribution	1	23638	1172040	{}
あみだ	阿弥陀	N2	D	estimated	model+frequency+world-distribution	1	12159	1150070	{}
あみだす	編み出す	N2	D	estimated	model+frequency+world-distribution	1	19956	1511910	{}
あみもの	編物	N2	B	direct	waller-lineage-exact	1	12732	1586670	"{""openjlpt-exact"":""N2"",""waller-exact"":""N2"",""existing-direct"":""N2"",""waller-entry-context"":""N2""}"
あめがふる	雨が降る	N2	D	estimated	model+frequency+world-distribution	1	26296	2851949	{}
あめふり	雨降り	N2	D	estimated	model+frequency+world-distribution	1	22019	1586690	{}
あやうい	危うい	N2	A	direct	manual-secondary-exact	1	6444	1218360	"{""manual-secondary-exact"":""N2"",""core-deck-exact"":""N1"",""openjlpt-exact"":""N2"",""waller-exact"":""N2"",""existing-direct"":""N2"",""waller-entry-context"":""N2""}"
あやつりにんぎょう	操り人形	N2	D	estimated	model+frequency+world-distribution	1	18628	1621790	{}
あやまる	誤る	N2	A	direct	manual-secondary-exact	1	19237	1271300	"{""manual-secondary-exact"":""N2"",""core-deck-exact"":""N2"",""openjlpt-exact"":""N1"",""waller-exact"":""N1"",""existing-direct"":""N1"",""waller-entry-context"":""N1""}"
あゆみ	歩み	N2	A	direct	manual-secondary-exact	1	5260	1514330	"{""manual-secondary-exact"":""N2"",""core-deck-exact"":""N2"",""openjlpt-exact"":""N1"",""waller-exact"":""N1"",""existing-direct"":""N1"",""waller-entry-context"":""N1""}"
あゆみより	歩み寄り	N2	D	estimated	model+frequency+world-distribution	1	6360	1691130	{}
あゆみよる	歩み寄る	N2	B	direct	core-exact	1	13189	1514340	"{""core-deck-exact"":""N2"",""existing-direct"":""N2""}"
あゆむ	歩む	N2	A	direct	manual-secondary-exact	1	21555	1514360	"{""manual-secondary-exact"":""N2"",""core-deck-exact"":""N2"",""openjlpt-exact"":""N1"",""waller-exact"":""N1"",""existing-direct"":""N1"",""waller-entry-context"":""N1""}"
あら	あら	N2	A	direct	manual-secondary-exact	1	22446	1000520	"{""manual-secondary-exact"":""N2"",""core-deck-exact"":""N2"",""openjlpt-exact"":""N1"",""waller-exact"":""N1"",""existing-direct"":""N1"",""waller-entry-context"":""N1""}"
あらあらしい	荒々しい	N2	D	estimated	model+frequency+world-distribution	1	20202	1586740	{}
あらい	粗い	N2	A	direct	manual-secondary-exact	1	19722	1396910	"{""manual-secondary-exact"":""N2"",""core-deck-exact"":""N1"",""openjlpt-exact"":""N2"",""waller-exact"":""N2"",""existing-direct"":""N2"",""waller-entry-context"":""N2""}"
あらい	荒い	N2	B	direct	waller-lineage-exact	1	16898	1281450	"{""openjlpt-exact"":""N2"",""waller-exact"":""N2"",""existing-direct"":""N2"",""waller-entry-context"":""N2""}"
あらいあげる	洗い上げる	N2	D	estimated	model+frequency+world-distribution	1	7354	1849010	{}
あらいだす	洗い出す	N2	B	direct	core-exact	0		1390870	"{""core-deck-exact"":""N2"",""existing-direct"":""N2""}"
あらいなおす	洗い直す	N2	D	estimated	model+frequency+world-distribution	1	17337	1849030	{}
あらいば	洗い場	N2	D	estimated	model+frequency+world-distribution	1	20091	1766600	{}
あらかじめ	あらかじめ	N2	B	direct+conflict	core-exact	1	24836	1542860	"{""core-deck-exact"":""N2"",""existing-direct"":""N1"",""waller-entry-context"":""N1""}"
あらかせぎ	荒稼ぎ	N2	D	estimated	model+frequency+world-distribution	1	22118	1281540	{}
あらけずり	粗削り	N2	D	estimated	model+frequency+world-distribution	1	15823	1586760	{}
あらしまわる	荒らし回る	N2	D	estimated	model+frequency+world-distribution	1	15935	1857210	{}
あらす	荒らす	N2	A	direct	manual-secondary-exact	1	10357	1281480	"{""manual-secondary-exact"":""N2"",""core-deck-exact"":""N2"",""openjlpt-exact"":""N1"",""waller-exact"":""N1"",""existing-direct"":""N1"",""waller-entry-context"":""N1""}"
